This Week's Date,11/2,11/2,11/3,11/4,11/5,11/6,11/7,11/8,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,"2 Strength Training (Each session have 1 heavy, strength building and rest size)",X,,X,,,,X,,0,
,2 Cardio Training ((1 swim),,,,,,,,2,2,
,10 Minute Stretching/Mobility ,,,,,,,,X,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,1,1,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,X,1,X,X,X,,,,1,
,1 night of up to 2 drinks,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,1,X,X,1,X,,2,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,X,1,1,
,Read 50 pages of non-fiction OR 2 chapters of an audiobook,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 15 minutes of Instagram per day,,,,,,,,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,X,1,,,1,,,2,
,"Buy lunch max, x2 per weekdays",,X,X,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,X,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,X,X,X,X,X,,,0,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",,X,X,X,1,1,,,2,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,1,1,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Polish boots,,,,,,,,1,1,
,Pay Chels bills with HSA,,,,,,,,1,1,
,,,,,,,,,,,
,Grand Total,,,,,,,,,14,
,,,,,,,,,,,
11/23- 11/29,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,"2 Strength Training (Each session have 1 heavy, strength building and rest size)",,,,,,,,2,2,
,2 Cardio Training ((1 swim),,,,,,,,2,2,
,10 Minute Stretching/Mobility ,,,,,,,,1,1,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,1,1,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,X,X,,,,,,,0,
,1 night of up to 2 drinks,X,X,X,1,1,1,1,,4,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,X,1,1,1,1,1,,6,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,,0,
,Read 50 pages of non-fiction OR 2 chapters of an audiobook,,,,,,,,,0,
,Read 1 chapter of a parenting book,,,,,,,,,0,
,Read 10 minutes every morning or evening,,,,,,,,,0,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,X,X,X,X,X,X,X,,0,
,Review strikes each night or in morning of following day,X,X,X,X,1,1,1,,3,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,X,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,X,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,,,,1,1,1,1,,4,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,1,1,,,,,,2,
,"Time block each day, intent to better plan day",,1,X,,,,,,1,
,Do 90 minutes of focused do not disturb work every workday OR,,1,X,,,,,,1,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",,X,X,1,1,1,,,3,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Polish boots,,,,,,,,,0,
,Pay Chels bills with HSA,,,,,,,,,0,
,,,,,,,,,,,
,Grand Total,,,,,,,,,30,
,,,,,,,,,,,
11/30- 12/26,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,"2 Strength Training (Each session have 1 heavy, strength building and rest size)",,,,,X,,X,,0,
,2 Cardio Training ((1 swim),,X,,,,,,1,1,
,10 Minute Stretching/Mobility ,,,,,,,,1,1,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,1,1,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,X,X,1,1,1,,,,3,
,1 night of up to 2 drinks,X,X,1,X,1,1,X,,3,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,X,X,X,X,,0,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,X,X,,0,
,Read 50 pages of non-fiction OR 2 chapters of an audiobook,,,,,,,,,0,
,Read 1 chapter of a parenting book or 1 parenting article,,,,,,X,,,0,
,Read 10 minutes every morning or evening,X,X,X,1,X,X,,,1,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,X,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,X,X,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,1,X,X,X,X,1,X,,2,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,X,X,X,,,0,
,"Time block each day, intent to better plan day",,,X,X,X,X,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,,X,X,X,X,,,0,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",,X,X,1,X,X,,,1,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Polish boots,,,,,,,,,0,
,Pay Chels bills with HSA,,,,,,,,1,1,
,,,,,,,,,,,
,Grand Total,,,,,,,,,14,
,,,,,,,,,,,
12/7- 12/13,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,"2 Strength Training (Each session have 1 heavy, strength building and rest size)",,,X,,,X,,,0,
,2 Cardio Training ((1 swim),,,,,,,,2,2,
,10 Minute Stretching/Mobility ,,,,X,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,1,1,
,No Zyns,X,X,X,X,X,X,X,,0,
,In bed by 11:15PM on weeknights,1,X,X,1,X,,,,2,
,1 night of up to 2 drinks,1,X,X,X,X,X,1,,2,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,X,X,X,1,X,X,X,,1,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,X,,,,,X,,0,
,Read 50 pages of non-fiction OR 2 chapters of an audiobook,,,,,,,,,0,
,Read 1 chapter of a parenting book or 1 parenting article,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,X,X,X,X,X,X,,0,
,Max 15 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,X,X,X,X,X,X,1,,1,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,X,,,,,0,
,"Buy lunch max, x2 per weekdays",,X,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,X,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,1,X,X,X,X,X,X,,1,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,X,,X,X,,,0,
,"Time block each day, intent to better plan day",,1,,X,X,1,,,2,
,Do 90 minutes of focused do not disturb work every workday OR,,X,,X,,1,,,1,
,Do 4 pomadoro time blocks each day,,,X,,,,,,0,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",,X,X,X,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,X,,,,,,X,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Polish boots,,,,,,,,,0,
,Pay Chels bills with HSA,,,,,,,,1,1,
,,,,,,,,,,,
,Grand Total,,,,,,,,,14,
,,,,,,,,,,,
12/14- 12/20,,,,,,,,,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,"2 Strength Training (Each session have 1 heavy, strength building and rest size)",,,,,,,,,0,
,2 Cardio Training ((1 swim),,,,,,,,,0,
,10 Minute Stretching/Mobility ,,,,,,,,,0,
,Core Work Out x1 (Can be cardio focused core),,,,,,,,,0,
,No Zyns,X,,,,,,,,0,
,In bed by 11:15PM on weeknights,X,,,,,,,,0,
,1 night of up to 2 drinks,1,,,,,,,,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x7,1,,,,,,,,1,
,Gratitude Journal x7,X,,,,,,,,0,
,Ten Minutes Written Journaling x2 (Wednesday & Sunday),,,,,,,,,0,
,Read 50 pages of non-fiction OR 2 chapters of an audiobook,,,,,,,,,0,
,Read 1 chapter of a parenting book or 1 parenting article,,,,,,,,,0,
,Read 10 minutes every morning or evening,X,,,,,,,,0,
,Max 15 minutes of Instagram per day,X,,,,,,,,0,
,Set week specific goals on Monday,,,,,,,,,0,
,Review strikes each night or in morning of following day,1,,,,,,,,1,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",X,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,Review expenses for 5 minutes at one point in the day,1,,,,,,,,1,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,X,,,,,,,0,
,"Time block each day, intent to better plan day",,,,,,,,,0,
,Do 90 minutes of focused do not disturb work every workday OR,,,,,,,,,0,
,Do 4 pomadoro time blocks each day,,,,,,,,,0,
,"^Want to find a better way to do this, ideally want to have this be automated where my day 'free time' is set based on number of hours without meetings and an LLM determine how many pom's or fixed work times I should have and I confirm during 30 min planning stage",,,,,,,,,,
,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",,,,,,,,,0,
,,,,,,,,,,,
,Monthly,,,,,,,,,,
,"Review financial health (expenses, savings)",,,,,,,,,0,
,Check-in with Chelsey on how she feels about us and what I can do as a partner,,,,,,,,,0,
,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",,,,,,,,,0,
,2 'nice' planned date nights a month - with baby this can be just planned apartment activites that I take lead on,,,,,,,,,,
,,,,,,,,,,,
,Cooking,,,,,,,,,,
,Cook 1 new meal a week,,,,,,,,,0,
,Read 10 pages of cook book each week,,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Polish boots,,,,,,,,,0,
,Pay Chels bills with HSA,,,,,,,,,0,
,,,,,,,,,,,
,Grand Total,,,,,,,,,4,
